"Park1","Park2","distance","duration","origin","destination","status"
"Afton State Park MN","Interstate State Park MN","70712","3520","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Interstate State Park, 307 Milltown Ct., Taylors Falls, MN 55084, United States",TRUE
"Afton State Park MN","Itasca State Park MN","384385","14646","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Itasca State Park, 36750 Main Park Drive, Park Rapids, MN 56470, USA",TRUE
"Afton State Park MN","Jay Cooke State Park MN","242190","8255","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Jay Cooke State Park, 780 MN-210, Carlton, MN 55718, USA",TRUE
"Afton State Park MN","Judge C.R. Magney State Park MN","470492","17419","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Judge C.R. Magney State Park, 4051 MN-61, Grand Marais, MN 55604, USA",TRUE
"Afton State Park MN","Kilen Woods State Park MN","282167","11118","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Kilen Woods State Park, 50200 860th St, Lakefield, MN 56150, USA",TRUE
"Afton State Park MN","La Salle Lake State Recreation Area MN","408895","15108","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","La Salle Lake State Recreation Area, 10899 Co Hwy 9, Solway, MN 55678, USA",TRUE
"Afton State Park MN","Lac qui Parle State Park MN","266729","10985","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Lac qui Parle State Park, 14047 20th St NW, Watson, MN 56295, USA",TRUE
"Afton State Park MN","Lake Bemidji State Park MN","407173","15434","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Lake Bemidji State Park, 3401 State Park Rd NE, Bemidji, MN 56601, USA",TRUE
"Afton State Park MN","Lake Bronson State Park MN","603092","22613","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Lake Bronson State Park, County Rd 28, Lake Bronson, MN 56734, USA",TRUE
"Afton State Park MN","Lake Carlos State Park MN","270256","9574","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Lake Carlos State Park, 2601 County Rd 38 NE, Carlos, MN 56319, USA",TRUE
"Afton State Park MN","Lake Louise State Park MN","178087","6817","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Lake Louise State Park, 12385 766th Ave, Le Roy, MN 55951, USA",TRUE
"Afton State Park MN","Lake Maria State Park MN","123807","4760","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Lake Maria State Park, 11411 Clementa Ave NW, Monticello, MN 55362, USA",TRUE
"Afton State Park MN","Lake Shetek State Park MN","303897","12062","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Lake Shetek State Park, 163 State Park Rd, Currie, MN 56123, USA",TRUE
"Afton State Park MN","Lake Vermilion-Soudan Underground Mine State Park MN","386429","13643","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Lake Vermilion-Soudan Underground Mine State Park, 1302 McKinley Park Rd, Soudan, MN 55782, USA",TRUE
"Afton State Park MN","Maplewood State Park MN","375618","12941","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Maplewood State Park, 39721 Park Entrance Road, Pelican Rapids, MN 56572, USA",TRUE
"Afton State Park MN","McCarthy Beach State Park MN","383982","13511","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","McCarthy Beach State Park, 7622 McCarthy Beach Rd, Side Lake, MN 55781, USA",TRUE
"Afton State Park MN","Mille Lacs Kathio State Park MN","197116","7394","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Kathio State Park Rd, Kathio Township, MN 56359, USA",TRUE
"Afton State Park MN","Minneopa State Park MN","167297","6805","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Minneopa State Park, 54497 Gadwall Rd, Mankato, MN 56001, USA",TRUE
"Afton State Park MN","Minnesota Valley State Recreation Area MN","92513","3788","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Minnesota Valley State Recreation Area, 19825 Park Blvd, Jordan, MN 55352, USA",TRUE
"Afton State Park MN","Monson Lake State Park MN","252042","9362","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Monson Lake State Park, 1690 15th St NE, Sunburg, MN 56289, USA",TRUE
"Afton State Park MN","Moose Lake State Park MN","203234","6872","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Moose Lake State Park, 4252 Co Rd 137, Moose Lake, MN 55767, USA",TRUE
"Afton State Park MN","Myre-Big Island State Park MN","178430","6312","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Myre-Big Island State Park, 19499 780th Ave, Albert Lea, MN 56007, USA",TRUE
"Afton State Park MN","Nerstrand Big Woods State Park MN","79982","3585","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Nerstrand Big Woods State Park, 9700 170th St E, Nerstrand, MN 55053, USA",TRUE
"Afton State Park MN","Old Mill State Park MN","589622","21014","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Old Mill State Park, 33489 240th Ave NW, Argyle, MN 56713, USA",TRUE
"Afton State Park MN","Red River State Recreation Area MN","556153","18544","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Red River State Recreation Area, 515 2nd St NW, East Grand Forks, MN 56721, USA",TRUE
"Afton State Park MN","Rice Lake State Park MN","111247","4845","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Rice Lake, Merton Township, MN 55060, USA",TRUE
"Afton State Park MN","St. Croix State Park MN","176021","6271","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","St. Croix State Park, 30065 St Croix Park Rd, Hinckley, MN 55037, USA",TRUE
"Afton State Park MN","Sakatah Lake State Park MN","123145","4557","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Sakatah Lake State Park, 50499 Sakatah Lake State Park Road, Waterville, MN 56096, United States",TRUE
"Afton State Park MN","Savanna Portage State Park MN","270321","10228","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Savanna Portage State Park, 55626 Lake Pl, McGregor, MN 55760, USA",TRUE
"Afton State Park MN","Scenic State Park MN","390511","14414","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Scenic State Park, 56956 Scenic Hwy, Bigfork, MN 56628, USA",TRUE
"Afton State Park MN","Schoolcraft State Park MN","339818","13240","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Schoolcraft State Park, 9042 Schoolcraft Ln NE, Deer River, MN 56636, USA",TRUE
"Afton State Park MN","Sibley State Park MN","229724","8277","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Sibley State Park, 800 Sibley Park Rd NE, New London, MN 56273, USA",TRUE
"Afton State Park MN","Split Rock Creek State Park MN","362450","14257","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Split Rock Creek State Park, 336 50th Ave, Jasper, MN 56144, USA",TRUE
