"Park1","Park2","distance","duration","origin","destination","status"
"Blue Mounds State Park MN","Lac qui Parle State Park MN","183659","7441","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Lac qui Parle State Park, 14047 20th St NW, Watson, MN 56295, USA",TRUE
"Blue Mounds State Park MN","Lake Bemidji State Park MN","510992","20643","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Lake Bemidji State Park, 3401 State Park Rd NE, Bemidji, MN 56601, USA",TRUE
"Blue Mounds State Park MN","Lake Bronson State Park MN","661260","21720","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Lake Bronson State Park, County Rd 28, Lake Bronson, MN 56734, USA",TRUE
"Blue Mounds State Park MN","Lake Carlos State Park MN","301823","12434","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Lake Carlos State Park, 2601 County Rd 38 NE, Carlos, MN 56319, USA",TRUE
"Blue Mounds State Park MN","Lake Louise State Park MN","324349","11038","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Lake Louise State Park, 12385 766th Ave, Le Roy, MN 55951, USA",TRUE
"Blue Mounds State Park MN","Lake Maria State Park MN","317356","12675","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Lake Maria State Park, 11411 Clementa Ave NW, Monticello, MN 55362, USA",TRUE
"Blue Mounds State Park MN","Lake Shetek State Park MN","89108","3956","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Lake Shetek State Park, 163 State Park Rd, Currie, MN 56123, USA",TRUE
"Blue Mounds State Park MN","Lake Vermilion-Soudan Underground Mine State Park MN","662644","25219","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Lake Vermilion-Soudan Underground Mine State Park, 1302 McKinley Park Rd, Soudan, MN 55782, USA",TRUE
"Blue Mounds State Park MN","Maplewood State Park MN","359787","14131","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Maplewood State Park, 39721 Park Entrance Road, Pelican Rapids, MN 56572, USA",TRUE
"Blue Mounds State Park MN","McCarthy Beach State Park MN","622899","24473","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","McCarthy Beach State Park, 7622 McCarthy Beach Rd, Side Lake, MN 55781, USA",TRUE
"Blue Mounds State Park MN","Mille Lacs Kathio State Park MN","413752","16231","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Kathio State Park Rd, Kathio Township, MN 56359, USA",TRUE
"Blue Mounds State Park MN","Minneopa State Park MN","208052","7470","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Minneopa State Park, 54497 Gadwall Rd, Mankato, MN 56001, USA",TRUE
"Blue Mounds State Park MN","Minnesota Valley State Recreation Area MN","281459","10459","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Minnesota Valley State Recreation Area, 19825 Park Blvd, Jordan, MN 55352, USA",TRUE
"Blue Mounds State Park MN","Monson Lake State Park MN","231166","9117","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Monson Lake State Park, 1690 15th St NE, Sunburg, MN 56289, USA",TRUE
"Blue Mounds State Park MN","Moose Lake State Park MN","479450","18448","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Moose Lake State Park, 4252 Co Rd 137, Moose Lake, MN 55767, USA",TRUE
"Blue Mounds State Park MN","Myre-Big Island State Park MN","252725","8441","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Myre-Big Island State Park, 19499 780th Ave, Albert Lea, MN 56007, USA",TRUE
"Blue Mounds State Park MN","Nerstrand Big Woods State Park MN","333100","11636","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Nerstrand Big Woods State Park, 9700 170th St E, Nerstrand, MN 55053, USA",TRUE
"Blue Mounds State Park MN","Old Mill State Park MN","608480","20342","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Old Mill State Park, 33489 240th Ave NW, Argyle, MN 56713, USA",TRUE
"Blue Mounds State Park MN","Red River State Recreation Area MN","532660","17340","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Red River State Recreation Area, 515 2nd St NW, East Grand Forks, MN 56721, USA",TRUE
"Blue Mounds State Park MN","Rice Lake State Park MN","311180","10425","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Rice Lake, Merton Township, MN 55060, USA",TRUE
"Blue Mounds State Park MN","St. Croix State Park MN","452237","17847","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","St. Croix State Park, 30065 St Croix Park Rd, Hinckley, MN 55037, USA",TRUE
"Blue Mounds State Park MN","Sakatah Lake State Park MN","261741","9585","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Sakatah Lake State Park, 50499 Sakatah Lake State Park Road, Waterville, MN 56096, United States",TRUE
"Blue Mounds State Park MN","Savanna Portage State Park MN","510858","20003","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Savanna Portage State Park, 55626 Lake Pl, McGregor, MN 55760, USA",TRUE
"Blue Mounds State Park MN","Scenic State Park MN","594687","23832","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Scenic State Park, 56956 Scenic Hwy, Bigfork, MN 56628, USA",TRUE
"Blue Mounds State Park MN","Schoolcraft State Park MN","521575","20772","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Schoolcraft State Park, 9042 Schoolcraft Ln NE, Deer River, MN 56636, USA",TRUE
"Blue Mounds State Park MN","Sibley State Park MN","237290","9039","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Sibley State Park, 800 Sibley Park Rd NE, New London, MN 56273, USA",TRUE
"Blue Mounds State Park MN","Split Rock Creek State Park MN","33440","1373","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Split Rock Creek State Park, 336 50th Ave, Jasper, MN 56144, USA",TRUE
"Blue Mounds State Park MN","Split Rock Lighthouse State Park MN","622099","23811","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Split Rock Lighthouse State Park, 3755 Split Rock Lighthouse Road, Two Harbors, MN 55616, USA",TRUE
"Blue Mounds State Park MN","Temperance River State Park MN","677261","26084","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Temperance River State Park, 7620 West Highway 61, Schroeder, MN 55613, United States",TRUE
"Blue Mounds State Park MN","Tettegouche State Park MN","642249","24669","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Tettegouche State Park, 5702 MN-61, Silver Bay, MN 55614, USA",TRUE
"Blue Mounds State Park MN","Upper Sioux Agency State Park MN","157662","6080","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Upper Sioux Agency State Park, 5908 MN-67, Granite Falls, MN 56241, USA",TRUE
"Blue Mounds State Park MN","Whitewater State Park MN","376077","12475","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Whitewater State Park, 19041 MN-74, Altura, MN 55910, USA",TRUE
"Blue Mounds State Park MN","Wild River State Park MN","429094","16155","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Wild River State Park, 39797 Park Trail, Center City, MN 55012, USA",TRUE
"Blue Mounds State Park MN","William O'Brien State Park MN","403970","15271","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","William O'Brien State Park, 16821 O'Brien Trail N, Marine on St Croix, MN 55047, USA",TRUE
"Blue Mounds State Park MN","Zippel Bay State Park MN","793946","26908","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA","Zippel Bay State Park, 3684 54th Ave NW, Williams, MN 56686, USA",TRUE
"Buffalo River State Park MN","Camden State Park MN","319076","12431","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States",TRUE
"Buffalo River State Park MN","Carley State Park MN","520239","17659","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Carley State Park, 50366 County Rd 4, Plainview, MN 55964, USA",TRUE
"Buffalo River State Park MN","Cascade River State Park MN","516533","20764","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Cascade River State Park, West, 3481 Minnesota 61, Lutsen, MN 55612, United States",TRUE
"Buffalo River State Park MN","Charles A. Lindbergh State Park MN","214944","7975","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Charles A. Lindbergh State Park, 1615 Lindbergh Dr S, Little Falls, MN 56345, USA",TRUE
"Buffalo River State Park MN","Crow Wing State Park MN","203503","7589","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Crow Wing State Park, 3124 State Park Rd, Brainerd, MN 56401, USA",TRUE
"Buffalo River State Park MN","Father Hennepin State Park MN","281837","10761","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Father Hennepin State Park, 41296 Father Hennepin Park Rd, Isle, MN 56342, USA",TRUE
"Buffalo River State Park MN","Flandrau State Park MN","379200","14425","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Flandrau State Park, 1300 Summit Ave, New Ulm, MN 56073, USA",TRUE
"Buffalo River State Park MN","Forestville/Mystery Cave State Park MN","564720","19306","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Forestville/Mystery Cave State Park, 21071 County Rd 118, Preston, MN 55965, USA",TRUE
"Buffalo River State Park MN","Fort Ridgely State Park MN","350187","12864","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Fort Ridgely State Park, 72158 Co Rd 30, Fairfax, MN 55332, USA",TRUE
"Buffalo River State Park MN","Fort Snelling State Park MN","384325","12734","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Fort Snelling State Park, 101 Snelling Lake Road, St Paul, MN 55111, USA",TRUE
"Buffalo River State Park MN","Franz Jevne State Park MN","389746","14836","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Franz Jevne State Park, MN-11, Birchdale, MN 56629, USA",TRUE
"Buffalo River State Park MN","Frontenac State Park MN","467312","16327","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Frontenac State Park, 29223 County 28 Blvd, Frontenac, MN 55026, USA",TRUE
"Buffalo River State Park MN","George H. Crosby-Manitou State Park MN","460534","18652","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","George Crosby Manitou State Park, 7616 Co Hwy 7, Finland, MN 55603, USA",TRUE
"Buffalo River State Park MN","Glacial Lakes State Park MN","187513","6852","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Glacial Lakes State Park, 25022 Co Rd 41, Starbuck, MN 56381, USA",TRUE
"Buffalo River State Park MN","Glendalough State Park MN","121998","4559","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Glendalough State Park, 25287 Whitetail Ln, Battle Lake, MN 56515, USA",TRUE
"Buffalo River State Park MN","Gooseberry Falls State Park MN","430446","17125","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Gooseberry Falls State Park, 3206 MN-61, Two Harbors, MN 55616, USA",TRUE
"Buffalo River State Park MN","Grand Portage State Park MN","595687","24089","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Grand Portage State Park, 9393 MN-61, Grand Portage, MN 55605",TRUE
"Buffalo River State Park MN","Great River Bluffs State Park MN","597282","19919","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Great River Bluffs State Park, 43605 Kipp Dr, Winona, MN 55987, USA",TRUE
"Buffalo River State Park MN","Hayes Lake State Park MN","267607","10491","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Hayes Lake State Park, 48990 Co Rd 4, Roseau, MN 56751, USA",TRUE
"Buffalo River State Park MN","Interstate State Park MN","420469","14321","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Interstate State Park, 307 Milltown Ct., Taylors Falls, MN 55084, United States",TRUE
"Buffalo River State Park MN","Itasca State Park MN","136616","5486","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Itasca State Park, 36750 Main Park Drive, Park Rapids, MN 56470, USA",TRUE
"Buffalo River State Park MN","Jay Cooke State Park MN","351611","13869","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Jay Cooke State Park, 780 MN-210, Carlton, MN 55718, USA",TRUE
"Buffalo River State Park MN","Judge C.R. Magney State Park MN","553425","22354","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Judge C.R. Magney State Park, 4051 MN-61, Grand Marais, MN 55604, USA",TRUE
"Buffalo River State Park MN","Kilen Woods State Park MN","413295","15818","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Kilen Woods State Park, 50200 860th St, Lakefield, MN 56150, USA",TRUE
"Buffalo River State Park MN","La Salle Lake State Recreation Area MN","150808","5856","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","La Salle Lake State Recreation Area, 10899 Co Hwy 9, Solway, MN 55678, USA",TRUE
"Buffalo River State Park MN","Lac qui Parle State Park MN","226229","8720","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Lac qui Parle State Park, 14047 20th St NW, Watson, MN 56295, USA",TRUE
"Buffalo River State Park MN","Lake Bemidji State Park MN","195271","7918","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Lake Bemidji State Park, 3401 State Park Rd NE, Bemidji, MN 56601, USA",TRUE
"Buffalo River State Park MN","Lake Bronson State Park MN","228046","9292","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Lake Bronson State Park, County Rd 28, Lake Bronson, MN 56734, USA",TRUE
"Buffalo River State Park MN","Lake Carlos State Park MN","163553","6005","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Lake Carlos State Park, 2601 County Rd 38 NE, Carlos, MN 56319, USA",TRUE
"Buffalo River State Park MN","Lake Louise State Park MN","558656","18904","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Lake Louise State Park, 12385 766th Ave, Le Roy, MN 55951, USA",TRUE
"Buffalo River State Park MN","Lake Maria State Park MN","295750","9947","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Lake Maria State Park, 11411 Clementa Ave NW, Monticello, MN 55362, USA",TRUE
"Buffalo River State Park MN","Lake Shetek State Park MN","357248","13887","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Lake Shetek State Park, 163 State Park Rd, Currie, MN 56123, USA",TRUE
"Buffalo River State Park MN","Lake Vermilion-Soudan Underground Mine State Park MN","387373","15783","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Lake Vermilion-Soudan Underground Mine State Park, 1302 McKinley Park Rd, Soudan, MN 55782, USA",TRUE
"Buffalo River State Park MN","Maplewood State Park MN","73956","3037","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Maplewood State Park, 39721 Park Entrance Road, Pelican Rapids, MN 56572, USA",TRUE
"Buffalo River State Park MN","McCarthy Beach State Park MN","340641","13970","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","McCarthy Beach State Park, 7622 McCarthy Beach Rd, Side Lake, MN 55781, USA",TRUE
"Buffalo River State Park MN","Mille Lacs Kathio State Park MN","254059","10087","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Kathio State Park Rd, Kathio Township, MN 56359, USA",TRUE
"Buffalo River State Park MN","Minneopa State Park MN","419092","15659","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Minneopa State Park, 54497 Gadwall Rd, Mankato, MN 56001, USA",TRUE
"Buffalo River State Park MN","Minnesota Valley State Recreation Area MN","403706","13607","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Minnesota Valley State Recreation Area, 19825 Park Blvd, Jordan, MN 55352, USA",TRUE
"Buffalo River State Park MN","Monson Lake State Park MN","222404","8099","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Monson Lake State Park, 1690 15th St NE, Sunburg, MN 56289, USA",TRUE
"Buffalo River State Park MN","Moose Lake State Park MN","330734","12870","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Moose Lake State Park, 4252 Co Rd 137, Moose Lake, MN 55767, USA",TRUE
"Buffalo River State Park MN","Myre-Big Island State Park MN","516847","17125","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Myre-Big Island State Park, 19499 780th Ave, Albert Lea, MN 56007, USA",TRUE
"Buffalo River State Park MN","Nerstrand Big Woods State Park MN","451705","15442","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Nerstrand Big Woods State Park, 9700 170th St E, Nerstrand, MN 55053, USA",TRUE
"Buffalo River State Park MN","Old Mill State Park MN","182493","7369","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Old Mill State Park, 33489 240th Ave NW, Argyle, MN 56713, USA",TRUE
"Buffalo River State Park MN","Red River State Recreation Area MN","155411","5637","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Red River State Recreation Area, 515 2nd St NW, East Grand Forks, MN 56721, USA",TRUE
"Buffalo River State Park MN","Rice Lake State Park MN","479590","16239","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Rice Lake, Merton Township, MN 55060, USA",TRUE
"Buffalo River State Park MN","St. Croix State Park MN","365096","13872","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","St. Croix State Park, 30065 St Croix Park Rd, Hinckley, MN 55037, USA",TRUE
"Buffalo River State Park MN","Sakatah Lake State Park MN","461563","15370","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Sakatah Lake State Park, 50499 Sakatah Lake State Park Road, Waterville, MN 56096, United States",TRUE
"Buffalo River State Park MN","Savanna Portage State Park MN","306841","12132","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Savanna Portage State Park, 55626 Lake Pl, McGregor, MN 55760, USA",TRUE
"Buffalo River State Park MN","Scenic State Park MN","314738","12290","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Scenic State Park, 56956 Scenic Hwy, Bigfork, MN 56628, USA",TRUE
"Buffalo River State Park MN","Schoolcraft State Park MN","235836","9502","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Schoolcraft State Park, 9042 Schoolcraft Ln NE, Deer River, MN 56636, USA",TRUE
"Buffalo River State Park MN","Sibley State Park MN","227437","8260","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Sibley State Park, 800 Sibley Park Rd NE, New London, MN 56273, USA",TRUE
"Buffalo River State Park MN","Split Rock Creek State Park MN","405385","13133","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Split Rock Creek State Park, 336 50th Ave, Jasper, MN 56144, USA",TRUE
"Buffalo River State Park MN","Split Rock Lighthouse State Park MN","441478","17555","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Split Rock Lighthouse State Park, 3755 Split Rock Lighthouse Road, Two Harbors, MN 55616, USA",TRUE
"Buffalo River State Park MN","Temperance River State Park MN","483979","19444","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Temperance River State Park, 7620 West Highway 61, Schroeder, MN 55613, United States",TRUE
"Buffalo River State Park MN","Tettegouche State Park MN","450270","18088","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Tettegouche State Park, 5702 MN-61, Silver Bay, MN 55614, USA",TRUE
"Buffalo River State Park MN","Upper Sioux Agency State Park MN","277557","10649","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Upper Sioux Agency State Park, 5908 MN-67, Granite Falls, MN 56241, USA",TRUE
"Buffalo River State Park MN","Whitewater State Park MN","533975","18261","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Whitewater State Park, 19041 MN-74, Altura, MN 55910, USA",TRUE
"Buffalo River State Park MN","Wild River State Park MN","379593","14438","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Wild River State Park, 39797 Park Trail, Center City, MN 55012, USA",TRUE
"Buffalo River State Park MN","William O'Brien State Park MN","406815","13726","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","William O'Brien State Park, 16821 O'Brien Trail N, Marine on St Croix, MN 55047, USA",TRUE
"Buffalo River State Park MN","Zippel Bay State Park MN","346791","13624","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA","Zippel Bay State Park, 3684 54th Ave NW, Williams, MN 56686, USA",TRUE
"Camden State Park MN","Carley State Park MN","349233","13522","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Carley State Park, 50366 County Rd 4, Plainview, MN 55964, USA",TRUE
"Camden State Park MN","Cascade River State Park MN","621001","24002","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Cascade River State Park, West, 3481 Minnesota 61, Lutsen, MN 55612, United States",TRUE
"Camden State Park MN","Charles A. Lindbergh State Park MN","253834","10129","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Charles A. Lindbergh State Park, 1615 Lindbergh Dr S, Little Falls, MN 56345, USA",TRUE
"Camden State Park MN","Crow Wing State Park MN","297709","11541","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Crow Wing State Park, 3124 State Park Rd, Brainerd, MN 56401, USA",TRUE
"Camden State Park MN","Father Hennepin State Park MN","328404","12880","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Father Hennepin State Park, 41296 Father Hennepin Park Rd, Isle, MN 56342, USA",TRUE
"Camden State Park MN","Flandrau State Park MN","133318","5561","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Flandrau State Park, 1300 Summit Ave, New Ulm, MN 56073, USA",TRUE
"Camden State Park MN","Forestville/Mystery Cave State Park MN","389776","13640","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Forestville/Mystery Cave State Park, 21071 County Rd 118, Preston, MN 55965, USA",TRUE
"Camden State Park MN","Fort Ridgely State Park MN","107931","4277","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Fort Ridgely State Park, 72158 Co Rd 30, Fairfax, MN 55332, USA",TRUE
"Camden State Park MN","Fort Snelling State Park MN","249588","9948","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Fort Snelling State Park, 101 Snelling Lake Road, St Paul, MN 55111, USA",TRUE
"Camden State Park MN","Franz Jevne State Park MN","616652","24160","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Franz Jevne State Park, MN-11, Birchdale, MN 56629, USA",TRUE
"Camden State Park MN","Frontenac State Park MN","310405","13493","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Frontenac State Park, 29223 County 28 Blvd, Frontenac, MN 55026, USA",TRUE
"Camden State Park MN","George H. Crosby-Manitou State Park MN","576665","22498","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","George Crosby Manitou State Park, 7616 Co Hwy 7, Finland, MN 55603, USA",TRUE
"Camden State Park MN","Glacial Lakes State Park MN","160331","6355","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Glacial Lakes State Park, 25022 Co Rd 41, Starbuck, MN 56381, USA",TRUE
"Camden State Park MN","Glendalough State Park MN","251375","10439","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Glendalough State Park, 25287 Whitetail Ln, Battle Lake, MN 56515, USA",TRUE
"Camden State Park MN","Gooseberry Falls State Park MN","522253","19979","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Gooseberry Falls State Park, 3206 MN-61, Two Harbors, MN 55616, USA",TRUE
"Camden State Park MN","Grand Portage State Park MN","700154","27328","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Grand Portage State Park, 9393 MN-61, Grand Portage, MN 55605",TRUE
"Camden State Park MN","Great River Bluffs State Park MN","412894","15135","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Great River Bluffs State Park, 43605 Kipp Dr, Winona, MN 55987, USA",TRUE
"Camden State Park MN","Hayes Lake State Park MN","550585","21895","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Hayes Lake State Park, 48990 Co Rd 4, Roseau, MN 56751, USA",TRUE
"Camden State Park MN","Interstate State Park MN","335110","13368","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Interstate State Park, 307 Milltown Ct., Taylors Falls, MN 55084, United States",TRUE
"Camden State Park MN","Itasca State Park MN","376517","15239","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Itasca State Park, 36750 Main Park Drive, Park Rapids, MN 56470, USA",TRUE
"Camden State Park MN","Jay Cooke State Park MN","429591","16428","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Jay Cooke State Park, 780 MN-210, Carlton, MN 55718, USA",TRUE
"Camden State Park MN","Judge C.R. Magney State Park MN","657892","25593","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Judge C.R. Magney State Park, 4051 MN-61, Grand Marais, MN 55604, USA",TRUE
"Camden State Park MN","Kilen Woods State Park MN","135373","5535","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Kilen Woods State Park, 50200 860th St, Lakefield, MN 56150, USA",TRUE
"Camden State Park MN","La Salle Lake State Recreation Area MN","400335","15964","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","La Salle Lake State Recreation Area, 10899 Co Hwy 9, Solway, MN 55678, USA",TRUE
"Camden State Park MN","Lac qui Parle State Park MN","97082","4173","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Lac qui Parle State Park, 14047 20th St NW, Watson, MN 56295, USA",TRUE
"Camden State Park MN","Lake Bemidji State Park MN","422177","17242","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Lake Bemidji State Park, 3401 State Park Rd NE, Bemidji, MN 56601, USA",TRUE
"Camden State Park MN","Lake Bronson State Park MN","622878","20740","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Lake Bronson State Park, County Rd 28, Lake Bronson, MN 56734, USA",TRUE
"Camden State Park MN","Lake Carlos State Park MN","213008","9032","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Lake Carlos State Park, 2601 County Rd 38 NE, Carlos, MN 56319, USA",TRUE
"Camden State Park MN","Lake Louise State Park MN","367940","12889","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Lake Louise State Park, 12385 766th Ave, Le Roy, MN 55951, USA",TRUE
"Camden State Park MN","Lake Maria State Park MN","228541","9273","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Lake Maria State Park, 11411 Clementa Ave NW, Monticello, MN 55362, USA",TRUE
"Camden State Park MN","Lake Shetek State Park MN","59269","2458","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Lake Shetek State Park, 163 State Park Rd, Currie, MN 56123, USA",TRUE
"Camden State Park MN","Lake Vermilion-Soudan Underground Mine State Park MN","573829","21817","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Lake Vermilion-Soudan Underground Mine State Park, 1302 McKinley Park Rd, Soudan, MN 55782, USA",TRUE
"Camden State Park MN","Maplewood State Park MN","281864","11449","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Maplewood State Park, 39721 Park Entrance Road, Pelican Rapids, MN 56572, USA",TRUE
"Camden State Park MN","McCarthy Beach State Park MN","534084","21071","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","McCarthy Beach State Park, 7622 McCarthy Beach Rd, Side Lake, MN 55781, USA",TRUE
"Camden State Park MN","Mille Lacs Kathio State Park MN","324937","12829","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States","Kathio State Park Rd, Kathio Township, MN 56359, USA",TRUE
