Park|Hiking.Club|address|lat|long|place_id|status|ID|date|hc.len|len|summer|hc.rating|rating|experience|lake|river|vista|prairie|forest|waterfall
McCarthy Beach State Park MN|TRUE|McCarthy Beach State Park, 7622 McCarthy Beach Rd, Side Lake, MN 55781, USA|47.671098|-93.031796|ChIJfYzJlsW_ulIRqy-jFAsZI6U|OK||||||||||||||
Mille Lacs Kathio State Park MN|TRUE|Kathio State Park Rd, Kathio Township, MN 56359, USA|46.1337379|-93.7437133|ChIJx_d4OE_9s1IRCzOZO3XWnTQ|OK||||||||||||||
Minneopa State Park MN|TRUE|Minneopa State Park, 54497 Gadwall Rd, Mankato, MN 56001, USA|44.1563691|-94.0911643|ChIJFXJd8ChG9IcRQF_4Oik2pLc|OK|spk00235|2018-10-21|2.7|4.5||1.5|3.5|Cool waterfall and confluence trail|0|1|1|1|1|0
Minnesota Valley State Recreation Area MN|TRUE|Minnesota Valley State Recreation Area, 19825 Park Blvd, Jordan, MN 55352, USA|44.666256|-93.696797|ChIJg5X0HfQM9ocRMC9A0COZ3EI|OK||||||||||||||
Monson Lake State Park MN|TRUE|Monson Lake State Park, 1690 15th St NE, Sunburg, MN 56289, USA|45.3184438|-95.2757758|ChIJL0yfLtCaylIRPFrs4i2BB9g|OK||||||||||||||
Moose Lake State Park MN|TRUE|Moose Lake State Park, 4252 Co Rd 137, Moose Lake, MN 55767, USA|46.435863|-92.736088|ChIJpWn5GDbmsVIRrAPlewW4vc8|OK||||||||||||||
Myre-Big Island State Park MN|TRUE|Myre-Big Island State Park, 19499 780th Ave, Albert Lea, MN 56007, USA|43.6371566|-93.3089334|ChIJ29dXpAgx8YcR5eBNLOC2PcM|OK|spk00175|2018-09-01|6.2|16||1.5|1.5|frogs|1|0|0|1|1|0
Nerstrand Big Woods State Park MN|TRUE|Nerstrand Big Woods State Park, 9700 170th St E, Nerstrand, MN 55053, USA|44.342212|-93.105167|ChIJ_3gHn-X_9ocRW70s2LhXwLg|OK|spk00241||2.2|11||4|4|waterfall|0|1|0|1|1|1
Old Mill State Park MN|TRUE|Old Mill State Park, 33489 240th Ave NW, Argyle, MN 56713, USA|48.361523|-96.566905|ChIJgUW6H_rZxlIRXFBlIZpR1BM|OK||||||||||||||
Red River State Recreation Area MN|TRUE|Red River State Recreation Area, 515 2nd St NW, East Grand Forks, MN 56721, USA|47.9296431|-97.0291599|ChIJPQfeGryGxlIRHokPHReHMNw|OK||||||||||||||
Rice Lake State Park MN|TRUE|Rice Lake, Merton Township, MN 55060, USA|44.1105196|-93.0460373|ChIJE5KnDu0e94cRQZpBOUZsR4Y|OK|spk00250||2.4|5||1.5|1.5|meh|1|0|0|1|1|0
St. Croix State Park MN|TRUE|St. Croix State Park, 30065 St Croix Park Rd, Hinckley, MN 55037, USA|46.0119822|-92.6176169|ChIJiQhsKRkMslIRN16qWvGz-ro|OK||||||||||||||
Sakatah Lake State Park MN|TRUE|Sakatah Lake State Park, 50499 Sakatah Lake State Park Road, Waterville, MN 56096, United States|44.218977|-93.531775|ChIJQ3nu5k-O9ocRIsAuHPc5zno|OK|spk00256|2018-10-21|2.2|5||3.5|4|Cool creeks and trail along lake|1|1|0|0|1|0
Savanna Portage State Park MN|TRUE|Savanna Portage State Park, 55626 Lake Pl, McGregor, MN 55760, USA|46.81842|-93.175943|ChIJOzl3TY9SsFIRhUzlH2HoTMo|OK||||||||||||||
Scenic State Park MN|TRUE|Scenic State Park, 56956 Scenic Hwy, Bigfork, MN 56628, USA|47.7032549|-93.5668361|ChIJLbnHEmddulIRoHpPPHBGx5s|OK||||||||||||||
Schoolcraft State Park MN|TRUE|Schoolcraft State Park, 9042 Schoolcraft Ln NE, Deer River, MN 56636, USA|47.2230894|-93.8049416|ChIJQ6DB_VG7sFIRLhDG7L7BZm8|OK||||||||||||||
