"Park"	"Hiking.Club"	"address"	"lat"	"long"	"place_id"	"status"
"Gooseberry Falls State Park MN"	TRUE	"Gooseberry Falls State Park, 3206 MN-61, Two Harbors, MN 55616, USA"	"47.1456218"	"-91.4653691"	"ChIJcUOH6gpIr1IRRhR90ucVTZo"	"OK"
"Grand Portage State Park MN"	TRUE	"Grand Portage State Park, 9393 MN-61, Grand Portage, MN 55605"	"48.0002547"	"-89.5936685"	"ChIJE5vQyIdeWE0RbSbUzV3psTk"	"OK"
"Great River Bluffs State Park MN"	TRUE	"Great River Bluffs State Park, 43605 Kipp Dr, Winona, MN 55987, USA"	"43.9394630"	"-91.4085480"	"ChIJC3h6Uy5F-YcRhh_SQx0uypI"	"OK"
"Greenleaf Lake State Recreation Area MN"	FALSE	"Greenleaf Lake State Recreation Area, Ellsworth Township, MN 55324, USA"	"45.0158330"	"-94.4666670"	"ChIJaRIBnBoptVIR__Uq39gBVMM"	"OK"
"Hayes Lake State Park MN"	TRUE	"Hayes Lake State Park, 48990 Co Rd 4, Roseau, MN 56751, USA"	"48.6374770"	"-95.5452710"	"ChIJzxzCg6pNv1IRmIGDGs5hJmI"	"OK"
"Hill Annex Mine State Park MN"	FALSE	"Hill Annex Mine State Park, 880 Gary St, Calumet, MN 55716, USA"	"47.3271220"	"-93.2773740"	"ChIJP_qpD1B5sFIRH2uIyTA5WsE"	"OK"
"Interstate State Park MN"	TRUE	"Interstate State Park, 307 Milltown Ct., Taylors Falls, MN 55084, United States"	"45.3947267"	"-92.6677792"	"ChIJNf75H26QslIRxj6rzx3gtFU"	"OK"
"Iron Range Off-Highway Vehicle State Recreation Area MN"	FALSE	"Iron Range Off-Highway Vehicle State Recreation Area, 7196 Pettit Rd, Gilbert, MN 55741, USA"	"47.4825157"	"-92.4434361"	"ChIJW1ovqjlZpVIR6SuWuhKs89s"	"OK"
"Itasca State Park MN"	TRUE	"Itasca State Park, 36750 Main Park Drive, Park Rapids, MN 56470, USA"	"47.1944450"	"-95.1652530"	"ChIJxeWD1JHyt1IRmp6tqI7eASE"	"OK"
"Jay Cooke State Park MN"	TRUE	"Jay Cooke State Park, 780 MN-210, Carlton, MN 55718, USA"	"46.6475355"	"-92.3453460"	"ChIJ_Yd-rEIwrlIRRcla7RTUst8"	"OK"
"John A. Latsch State Park MN"	FALSE	"John A. Latsch State Park, US-61, Minnesota City, MN 55959, USA"	"44.1719010"	"-91.8391260"	"ChIJmRZeu0-n-YcRm1un5f0_sic"	"OK"
"Judge C.R. Magney State Park MN"	TRUE	"Judge C.R. Magney State Park, 4051 MN-61, Grand Marais, MN 55604, USA"	"47.8180794"	"-90.0531098"	"ChIJeY404DrHp1IRZ6qvlk0syC8"	"OK"
"Kilen Woods State Park MN"	TRUE	"Kilen Woods State Park, 50200 860th St, Lakefield, MN 56150, USA"	"43.7290962"	"-95.0666352"	"ChIJ6QfYBKhNi4cRMQSY90dxBpY"	"OK"
"La Salle Lake State Recreation Area MN"	TRUE	"La Salle Lake State Recreation Area, 10899 Co Hwy 9, Solway, MN 55678, USA"	"47.3470570"	"-95.1581910"	"ChIJ0-VqbvEfuFIRrThL0Io4ZSI"	"OK"
"Lac qui Parle State Park MN"	TRUE	"Lac qui Parle State Park, 14047 20th St NW, Watson, MN 56295, USA"	"45.0526862"	"-95.8877859"	"ChIJrdEdwqgly1IRLXUaPXmVnvM"	"OK"
"Lake Bemidji State Park MN"	TRUE	"Lake Bemidji State Park, 3401 State Park Rd NE, Bemidji, MN 56601, USA"	"47.5353780"	"-94.8275230"	"ChIJx2xnaCvNuVIRULQYh7imMhI"	"OK"
"Lake Bronson State Park MN"	TRUE	"Lake Bronson State Park, County Rd 28, Lake Bronson, MN 56734, USA"	"48.7244440"	"-96.6257440"	"ChIJcw-apKUnwVIR0jBUbiBvR5o"	"OK"
"Lake Carlos State Park MN"	TRUE	"Lake Carlos State Park, 2601 County Rd 38 NE, Carlos, MN 56319, USA"	"46.0007370"	"-95.3351460"	"ChIJF2O1s5UGylIRTDBF3uUFMDk"	"OK"
"Lake Louise State Park MN"	TRUE	"Lake Louise State Park, 12385 766th Ave, Le Roy, MN 55951, USA"	"43.5359862"	"-92.5123421"	"ChIJsV3IUkuh8IcRYuhQUnbLnrQ"	"OK"
